r2qkbnr/ppp2ppp/2np4/4p3/2B1P1b1/5N2/PPPPQPPP/RNB1K2R w KQkq -,d2d3 c6d4 e2d1 g4f3 g2f3 d8f6 f3f4 e5f4 c2c3 d4e6
rnb1k2r/pp1pppbp/1q3np1/2p5/3P1B2/2P1P2P/PP3PP1/RN1QKBNR w KQkq -,d1d2 d7d6 f1d3 e8h8 g1f3 c5d4 c3d4 b8c6 b1c3 c6b4
r1bqk1nr/pp3ppp/2n1p3/2bp4/3NP3/2P5/PP1N1PPP/R1BQKB1R w KQkq -,d4b3 c5b6 e4d5 e6d5 d2f3 g8f6 f1d3 d8d6 e1h1 e8h8
5N2/2p5/5p1p/4r1k1/8/2PK4/5PPP/R7 w - -,f2f4 g5f4 f8g6 f4f5 g6e5 f5e5 a1a6 h6h5 a6c6 h5h4
r1bqkb1r/ppp2ppp/2n5/3n4/2B5/5N2/PPPP1PPP/R1BQK2R w KQkq -,d1e2 f8e7 e1h1 e8h8 d2d4 e7f6 f1e1 c8f5 c2c3 c6e7
r1b1kb1r/ppp2ppp/2n5/3q4/8/5N2/PPPP1PPP/R1BQK2R w KQkq -,d1e2 c8e6 e1h1 e8a8 d2d3 f8d6 h2h3 d5h5 f3d4 e6g4
rnbqk2r/ppp2ppp/3p1n2/2b1p3/2P1P3/2N4N/PP1P1PPP/R1BQKB1R w KQkq -,f1d3 c8h3 g2h3 b8c6 d3e2 c6d4 d2d3 d8d7 e2f1 a7a5
8/1k6/8/8/8/1KQ5/8/8 w - -,f1d3 c8h3 g2h3 b8c6 d3e2 c6d4 d2d3 d8d7 e2f1 a7a5
rn2kbnr/ppq2ppp/2pp4/3Pp3/2P1P1b1/5N2/PP3PPP/RNBQKB1R w KQkq -,h2h3 g4d7 b1c3 a7a5 a2a3 g8f6 g2g4 h7h6 f1d3 g7g6
r1bqk2r/ppp1bppp/2np4/4p3/2BPn3/5N1P/PPP2PP1/RNBQ1RK1 w kq -,d1e1 d6d5 d4e5 e8h8 c4d3 e4c5 d3b5 a7a6 b5c6 b7c6
r1b1kb1r/pp3ppp/1qn1pn2/2pp4/3P1B2/1PP1P2P/P4PP1/RN1QKBNR w KQkq -,g1f3 f6e4 f1e2 c5d4 e3d4 c6e7 e1h1 e7g6 f4e3 f8e7
r3k2r/pppqbppp/2np1n2/4p3/4P1b1/2NP1NP1/PPP2PBP/R1BQ1RK1 w kq -,c1e3 e8h8 d1d2 a8e8 f3g5 g4h5 f2f3 d6d5 c3d5 f6d5
rnbq1rk1/pp1pppbp/2p2np1/8/2BP1B2/4PN2/PPP2PPP/RN1QK2R w KQ -,e1h1 a7a5 h2h3 b7b5 c4d3 a5a4 c2c3 d7d6 e3e4 b8d7
1r1qb1k1/p1rn2pp/1ppNpp2/P2nP3/1P1P4/Q4N2/5PPP/2RR1BK1 w - -,d1e1 e8g6 f1c4 f6e5 f3e5 d7e5 d4e5 b6a5 b4a5 d8g5
r1bqk2r/ppp1bppp/4pn2/3pn3/2PP4/2N1P3/PP3PPP/R1BQKB1R w KQkq -,b2b3 e5g6 c1b2 e8h8 f1e2 b7b6 e1h1 c8b7 d1c2 c7c6
r1b1kb1r/pp1npppp/2p2n2/q2p4/3P1B2/3BPN2/PPP2PPP/RN1QK2R w KQkq -,d1d2 a5d2 b1d2 g7g6 h2h3 f8g7 a2a4 a7a5 e1h1 e8h8
2r1q1k1/p1rn3p/1pp1pp2/PP1n4/3P4/Q4N2/5PPP/2RR1BK1 w - -,c1c6 c7c6 b5c6 c8c6 a5b6 a7b6 f3d2 e8c8 a3g3 g8h8
2r1q1k1/p2n3p/1pr1pp2/P2n4/3P4/Q4N2/5PPP/2RR1BK1 w - -,c1c6 c8c6 f1b5 c6c7 a5b6 a7b6 d1e1 e8f8 a3b3 f8b4
4q1k1/p2n3p/1pr1pp2/P2n4/3P4/Q4N2/5PPP/3R1BK1 w - -,a5b6 a7b6 f3d2 e8c8 a3g3 g8h8 d2e4 c8b8 g3b3 b8c8
4q1k1/3n3p/1pr1pp2/3n4/3P4/Q4N2/5PPP/3R1BK1 w - -,f1b5 c6c7 d1e1 e8f8 a3b3 f8c8 f3d2 c7c3 b3a4 c3c1
r1bqkbnr/1p1p1ppp/p7/2p5/B2pP3/3P4/PPP2PPP/RNBQK2R w KQkq -,e1h1 b7b5 a4b3 c8b7 c2c3 d7d5 e4d5 f8e7 d1e2 b7d5
r1bqk2r/p4pp1/1pnppn1p/2p3B1/2PPP3/P1P2P2/4N1PP/R2QKB1R w KQkq -,g5c1 c6a5 d1a4 c8d7 a4d1 c5d4 c3d4 a8c8 e2g3 a5c4
rnbqkb1r/pppp1p1p/4pnp1/8/2P5/4PN2/PP1P1PPP/RNBQKB1R w KQkq -,d2d4 f8g7 f1e2 e8h8 e1h1 b7b6 b2b4 c8b7 d1c2 d8e7
r2qkbnr/ppp2ppp/2n5/3p1b2/3P4/2N2P2/PP2P1PP/R1BQKBNR w KQkq -,e2e4 d5e4 f3e4 d8e7 d4d5 f5e4 d1e2 c6d4 e2e4 e7e4
rn1qkb1r/pppbp1pp/3p1n2/5p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,c1f4 e7e6 e2e3 h7h6 f1e2 g7g5 f4g3 f8g7 c4c5 d8e7
r1b1kb1r/ppp3pp/2n5/3qpp2/8/3P1N2/PPP1BPPP/R1BQK2R w KQkq -,h2h3 b7b6 c2c3 c8b7 d1b3 e8a8 b3d5 d8d5 c1e3 h7h6
r1bq1rk1/pp1nbppp/2p1pn2/3pN3/2PP4/2N3P1/PP2PPBP/R1BQK2R w KQ -,c1f4 d7e5 d4e5 f6d7 h2h4 h7h6 a1c1 d7b6 b2b3 d5c4
r1bqkbnr/pp4pp/4p3/2ppn3/3P4/P1P5/1P3PPP/RNBQKB1R w KQkq -,b2b4 c5d4 c3d4 e5f7 b1c3 c8d7 f1b5 a8c8 c1d2 g8f6
r1bqkb1r/ppp2ppp/2n5/4p3/8/2nP1N1P/PPP2PP1/R1BQKB1R w KQkq -,c1g5 d8g5 f3g5 c3d1 e1d1 f7f6 g5e4 c8f5 e4f6 g7f6
r1bq1rk1/ppp2ppp/2nb1p2/3p4/3P4/3BPN2/PPP2PPP/RN1QK2R w KQ -,c2c4 c6b4 c4c5 b4d3 d1d3 d6e7 b2b4 b7b6 e1h1 c7c6
rn1qk1nr/ppp2ppp/3bp3/3p1b2/3P4/2P2P2/PP1NP1PP/R1BQKBNR w KQkq -,d1b3 g8f6 g2g3 e8h8 f1g2 e6e5 e2e4 f5g6 g1e2 b8d7
r1bqk2r/ppp1bppp/2np1n2/1B2p1B1/4P3/2NP4/PPP2PPP/R2QK1NR w KQkq -,b5c6 b7c6 g1f3 h7h6 g5h4 e8h8 e1h1 c8e6 b2b3 f6d7
r3kb1r/p1qnpppp/5n2/1p3b2/2pP4/2N1PQ2/PP3PPP/R3KBNR w KQkq -,f3a8 d7b8 a2a4 e7e6 a4b5 f8b4 a1a7 c7d6 a8b7 e8h8
rnbqkb1r/pp2pp2/2p2p2/7p/2BP4/8/PPP2PPP/R1BQK1NR w KQkq -,g1f3 h5h4 h2h3 c8f5 e1h1 d8c7 f1e1 b8d7 a2a4 e7e6
r1bqk2r/pppnbppp/2n1p3/3pP3/3P4/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,a2a3 f7f6 e5f6 d7f6 f3e5 c6e5 d4e5 f6d7 d1g4 d7e5
r1b1kb1r/ppp1qppp/3p1n2/4n3/8/2N1PN2/PPP1BPPP/R1BQK2R w KQkq -,e3e4 c7c6 c1f4 e5g6 f4g3 f6e4 c3e4 e7e4 e1h1 e4e7
r1bqkbnr/1p2pppp/p1n5/1Bpp4/3P1B2/4P3/PPP2PPP/RN1QK1NR w KQkq -,b5a4 b7b5 a4b3 c5c4 g1f3 c8g4 b1d2 c4b3 a2b3 e7e6
rn1qkbnr/pp3ppp/4p3/2ppP2b/3P4/3B1N1P/PPP2PP1/RNBQ1RK1 w kq -,c2c4 c5d4 g2g4 h5g6 d3g6 h7g6 d1d4 h8h3 d4f4 f7f6
r1b1k1nr/pp3ppp/8/3q4/3n4/2B5/PP3PPP/R2QKB1R w KQkq -,d1d2 d5e4 e1d1 c8g4 d1c1 e8a8 f2f3 e4c6 f3g4 d4b3
5rk1/1b3ppp/3p4/1p1P4/r7/1Q1N4/PP3PPP/6K1 w - -,d3b4 f8c8 h2h3 h7h6 a2a3 c8c5 b3f3 a4a8 f3e4 a8f8
r1bqkbnr/pp1n1ppp/2p1p3/3pP3/5P2/2N5/PPPP2PP/R1BQKBNR w KQkq -,g1f3 c6c5 d2d4 a7a6 a2a3 g8h6 f1d3 d8b6 a3a4 c5d4
r2qkb1r/ppp2pp1/2p2n1p/4p2b/4P3/3P1N1P/PPP2PP1/RNBQ1RK1 w kq -,b1d2 f6d7 d2c4 f8d6 a2a4 e8h8 c4e3 f8e8 e3f5 a7a5
r1bqk2r/ppp3pp/2np1n2/4pp2/2P5/2P2NP1/PP2PPBP/R1BQ1RK1 w kq -,b2b4 a7a6 c4c5 c8e6 c3c4 e6c4 d1c2 c4d5 c5d6 c7d6
rn1qkb1r/ppp2pp1/4pn2/3p1b1p/5P2/1P2PN2/PBPP2PP/RN1QKB1R w KQkq -,c2c4 b8d7 b1c3 c7c6 c4d5 e6d5 f1e2 d7c5 e1h1 f8d6
r1b1kbnr/p1pp1ppp/1pq5/8/4P3/3B4/PPP2PPP/RNBQK2R w KQkq -,b1c3 f8b4 c1d2 g8f6 d1e2 e8h8 e1a1 f8e8 f2f3 c8b7
r1bqkb1r/pp3ppp/2n1pn2/3p4/8/1P2PN2/PB1P1PPP/RN1QKB1R w KQkq -,g2g3 c8d7 a2a3 f8d6 d2d4 f6e4 f1e2 a8c8 b1d2 e4d2
r1bqkb1r/pppn1ppp/4pn2/3p4/5P2/1P3N2/PBPPP1PP/RN1QKB1R w KQkq -,g2g3 f8d6 c2c4 e8h8 e2e3 c7c6 d2d4 c6c5 b1d2 c5d4
rn1qkb1r/ppp2ppp/4pn2/3p1b2/5P2/2PP1N2/PP2P1PP/RNBQKB1R w KQkq -,e2e3 f8d6 f1e2 h7h6 f3d4 f5h7 b2b4 a7a5 b4a5 a8a5
1k6/pP3pp1/8/3P1B1p/3N4/2P5/PP3Pp1/3br1K1 w - -,g1g2 b8b7 d5d6 d1a4 f5d3 b7c8 b2b3 a4d7 d3a6 c8d8
1k2r3/pP3pp1/8/3P1B1p/8/2P5/PPN2Pp1/3b2K1 w - -,c2d4 b8b7 g1g2 b7c7 d4b5 c7b6 b5d6 e8d8 d6c4 b6c5
r1bqkb1r/pppn1ppp/2p5/4P3/8/8/PPP2PPP/RNBQKB1R w KQkq -,e5e6 d8e7 d1e2 e7e6 e2e6 f7e6 f1e2 d7f6 c1e3 f6d5
r1bqk1nr/pppp1ppp/8/2b5/2B1Pp2/2NP1n2/PPP3PP/R1BQK2R w KQkq -,d1f3 d7d6 c1f4 g8f6 f4g5 e8h8 c3d5 c5d4 e1a1 c8e6
rn1qkbnr/pp3ppp/4p3/3pP3/2pP4/3Q1N2/PPP2PPP/RNB1K2R w KQkq -,d3d1 b8c6 e1h1 g8e7 b1c3 e7f5 c3e2 b7b5 a2a3 h7h5
r2qkbnr/pp1b1ppp/2n1p3/3pP3/3N1P2/2N5/PPP3PP/R1BQKB1R w KQkq -,d4c6 d7c6 c1e3 g8e7 e3f2 e7f5 c3b5 d8a5 d1d2 f8b4
r2qkb1r/ppp3pp/2n1bn2/3p4/3P4/2PB4/PP3PPP/RNBQK1NR w KQkq -,g1f3 f8d6 e1h1 e8h8 f1e1 d8d7 c1g5 h7h6 g5h4 f6h5
r1bqk1nr/pppp2pp/5p2/n1bPp3/4P3/2P2N2/P4PPP/RNBQKB1R w KQkq -,c1a3 d8e7 a3c5 e7c5 f3d2 f6f5 d1h5 g7g6 h5g5 c5e7
r2qkbnr/pp3ppp/2n1b3/1Bpp4/8/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,b2b3 f8d6 b5c6 b7c6 e1h1 g8f6 d2d3 e8h8 c1a3 d8c7
r1bqk1nr/1ppp2pp/p1n2p2/2b1p1B1/4P3/2NP1N2/PPP2PPP/R2QKB1R w KQkq -,g5c1 g8e7 c1e3 c5e3 f2e3 d7d5 d3d4 d5e4 c3e4 e5d4
rnbq1rk1/pp1p1ppp/2p2n2/2b1p3/4P3/6P1/PPPPNPBP/RNBQ1RK1 w - -,c2c4 d7d6 b1c3 c8g4 d2d3 a7a5 g1h1 b8a6 h2h3 g4e2
r1bqk1nr/3pppbp/p1n3p1/1pp5/B3P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,e1h1 b5a4 c3a4 d7d6 h2h3 g8f6 c1e3 h7h6 f3d2 e8h8
r1bqk1nr/pp1pppbp/2n3p1/2p5/8/3P1NP1/PPPNPP1P/R1BQKB1R w KQkq -,e2e4 d7d6 f1g2 e7e5 e1h1 g8e7 a2a4 e8h8 c2c3 h7h6
rnbqkbnr/pp3ppp/4p3/2pp4/4P3/2N4N/PPPP1PPP/R1BQKB1R w KQkq -,d2d4 c5d4 d1d4 b8c6 f1b5 g8f6 e4d5 e6d5 c1g5 f8e7
rnbqk1nr/pppp1p1p/8/8/1bBPPp2/2N2p2/PPP3PP/R1BQ1RK1 w kq -,d1f3 d8f6 e4e5 f6g7 f3f4 b4e7 c3d5 b8c6 d5c7 e8d8
r3kbnr/ppp1pppp/8/q7/3n2b1/2N2NP1/PPPP1PBP/R1BQK2R w KQkq -,c3e4 a5h5 e4g5 h7h6 c2c3 d4c6 d1a4 g4d7 g3g4 h5g6
r1bqkb1r/pp1pnppp/2p5/8/3QP3/2N5/PPP2PPP/R1B1KB1R w KQkq -,c1e3 d8b6 d4b6 a7b6 e3b6 e7g6 e1a1 d7d6 f1e2 g6f4
rn1qkbnr/pp2pppp/2p5/5b2/3P1B2/2N2p2/PPP3PP/R2QKBNR w KQkq -,g2g3 f3f2 e1f2 g8f6 g1f3 e7e6 f1d3 f5d3 d1d3 f8e7
rn1qkbnr/pp3ppp/2p1p3/5b2/3P1B2/2N2N2/PPP3PP/R2QKB1R w KQkq -,f4g3 f8e7 f1d3 f5d3 d1d3 g8f6 e1a1 b8d7 h1f1 e8h8
r2qkbnr/1p3ppp/p1npb3/2pNp3/2B1P3/2N5/PPPP1PPP/R1BQK2R w KQkq -,a2a4 g8f6 d2d3 c6b4 e1h1 b4d5 e4d5 e6f5 f2f4 e5f4
r1bq1rk1/1p2bppp/p1n1pn2/8/3P4/2N2NB1/PP2BPPP/2RQ1RK1 w - -,c3a4 c8d7 f1e1 e7b4 a4c3 f6d5 e1f1 c6e7 d1b3 a6a5
r1b1kb1r/ppp1q1p1/2n2n1p/3p2B1/8/1Q3N2/PPP1PPPP/RN2KB1R w KQkq -,g5f6 e7f6 b1c3 f8b4 e1a1 b4c3 b3c3 f6c3 b2c3 c8e6
r1bqk2r/ppp1bppp/2n1pn2/8/2BP1B2/4PN2/PP3PPP/RN1QK2R w KQkq -,a2a3 f6h5 f4g3 c6b8 d1c2 c7c6 b1c3 b8d7 a1d1 b7b5
r1bqk1nr/pppp1ppp/2n5/2b1p3/8/1PN1P3/P1PP1PPP/R1BQKBNR w KQkq -,g1e2 g8f6 d2d4 e5d4 e3d4 c5b6 g2g3 e8h8 f1g2 d7d5
r2qk2r/ppp1bppp/2np1n2/8/2Pp2b1/2N2NP1/PP2PPBP/R1BQ1RK1 w kq -,f3d4 c6d4 d1d4 c7c6 b2b3 e8h8 c1b2 d8c8 e2e4 h7h6
r2qkbnr/pp3ppp/2n1p3/3p1b2/3P4/PB6/1PP2PPP/RNBQK1NR w KQkq -,c2c3 f8d6 g1f3 d8c7 e1h1 g8f6 f1e1 e8h8 h2h3 h7h6
r2qkbnr/pp3ppp/2n1p1b1/1B1p4/3P2P1/2N2N1P/PPP2P2/R1BQK2R w KQkq -,b5c6 b7c6 c1f4 d8b6 a1b1 g8f6 e1h1 f8e7 f3e5 f6d7
4r3/3P1ppk/8/8/8/2r3KP/5P2/8 w - -,b5c6 b7c6 c1f4 d8b6 a1b1 g8f6 e1h1 f8e7 f3e5 f6d7
r1bqk2r/ppp2ppp/2np4/2bnp3/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,b2b4 d5b4 h2h3 b4a6 d2d4 c5d4 f3d4 e5d4 c3b5 e8h8
r1bqkb1r/pp1p1ppp/2n2n2/2P1p3/1P6/8/PBP1PPPP/RN1QKBNR w KQkq -,a2a3 d7d6 b1d2 d8c7 c5d6 f8d6 g1f3 e8h8 e2e4 c8e6
rnbqkbnr/pp2pppp/2p5/8/8/1P3p2/PBPP2PP/RN1QKBNR w KQkq -,b1c3 f3f2 e1f2 g8f6 g1f3 c8f5 f1e2 e7e6 h1e1 h7h6
rnbqkbnr/ppp2ppp/8/4p3/8/2N4P/PPPP1PP1/R1BQKBNR w KQkq -,g1f3 b8c6 f1c4 f8d6 d2d4 e5d4 f3d4 g8e7 d4b5 c8f5
r1b1kbnr/pppp1ppp/8/3pP3/4q3/8/PPP1K1PP/RNBQ1BNR w kq -,e2f2 f8c5 f2g3 g8e7 c1g5 e4e5 g3f3 e5g5 d1d2 g5f6
rnbqkbnr/pp1p1ppp/4p3/8/2B1P3/p7/2PP1PPP/RNBQK1NR w KQkq -,c4e2 g8f6 e4e5 f6e4 g1f3 a3a2 b1a3 b8c6 a1a2 f8e7
r1bqk2r/pppp1ppp/3b1n2/1P2n3/2BpP3/2P2N2/P4PPP/RNBQK2R w KQkq -,f3e5 d6e5 c3d4 e5d6 e1h1 d6b4 d1b3 d8e7 c1g5 d7d5
r1bq1k1r/2ppbppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 w - -,b1c3 h7h6 a2a4 b5b4 c3d5 d7d6 c2c3 a8b8 b3c2 c8g4
r2qkb1r/ppp2ppp/2n2n2/4pb2/2Pp4/3P1NPP/PP2PPB1/RNBQ1RK1 w kq -,b1a3 h7h6 b2b4 f8b4 d1a4 e5e4 f3e5 a7a5 e5c6 d8d7
r1bqk2r/ppp2pbp/2np1np1/6B1/4P3/2NQ1N2/PPP2PPP/R3KB1R w KQkq -,d3d2 h7h6 g5e3 a7a6 h2h3 c8e6 e1a1 b7b5 f1d3 c6b4
8/8/3Q4/8/6k1/4K3/8/8 w - -,f1e2 h7h6 g5e3 e8h8 e1h1 f8e8 a1d1 d8e7 c3d5 f6d5
rnbqkb1r/ppp2p2/3p1n1p/6p1/3NP2B/8/PPP2PPP/RN1QKB1R w KQkq -,f2f3 g5h4 b1c3 b8c6 d4e2 f8g7 d1d2 e8h8 e1a1 a7a6
r2qk2r/pppbbppp/2n1pn2/3p4/8/1P2P1P1/PBPPNPBP/RN1QK2R w KQkq -,d2d4 a7a5 a2a4 b7b6 e1h1 e8h8 b1d2 d7c8 e3e4 d5e4
r2qkb1r/pbpnpppp/1p3n2/3p4/3P4/4PN2/PPP1BPPP/RNBQ1RK1 w kq -,c2c4 e7e6 b1c3 d5c4 e2c4 f8d6 d1e2 c7c5 d4c5 d7c5
r1bq1rk1/ppp1bppp/2np1n2/8/4P3/2NBQN2/PPP2PPP/R1B1K2R w KQ -,e3f4 d6d5 e1h1 d5e4 c3e4 f6h5 f4e3 c8f5 e4f6 h5f6
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/2B1P3/5N1P/PPPP1PP1/RNBQK2R w KQkq -,d2d3 f8c5 e1h1 d7d6 c2c3 c5a7 a2a4 h7h6 c1e3 a7e3
rnb1k1nr/1ppp1ppp/p4q2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,c3d5 f6d8 f3e5 b8c6 d1h5 g7g6 e5c6 g6h5 c6d8 e8d8
rnbq1rk1/pp3pbp/4pnp1/2pp4/2P5/2N1P1P1/PP1PNPBP/R1BQ1RK1 w - -,b2b3 b8c6 d2d4 c5d4 e3d4 c8d7 c1a3 c6e7 c4d5 e6d5
rnbqk2r/ppp2ppp/5n2/b2p2B1/3P4/P1N5/1PP2PPP/R2QKBNR w KQkq -,b2b4 a5b6 g5f6 g7f6 c3a4 d8e7 f1e2 c8g4 e1f1 g4f5
r1bqk2r/ppp2ppp/1bp2n2/8/4P3/3PB3/PPP2PPP/RN1QKB1R w KQkq -,d1d2 e8h8 f1e2 f6g4 e3b6 a7b6 b1c3 b6b5 e2g4 c8g4
7R/1B3pp1/3k1n2/4p3/7p/1p2P2P/5PP1/6K1 w - -,b7f3 g7g5 f3d1 b3b2 h8b8 f6d7 b8b2 f7f5 d1a4 d7c5
7R/3n1pp1/B2k4/4p3/7p/1p2P2P/5PP1/6K1 w - -,h8h4 d7c5 a6c4 f7f5 c4b3 c5b3 h4h7 g7g5 h7g7 b3c5
r1bqkb1r/2p1pppp/p1p2n2/8/3P4/4P3/PP3PPP/RNBQK1NR w KQkq -,b1d2 e7e6 g1f3 c6c5 d4c5 f8c5 e1h1 c8b7 b2b3 d8d3
r2qkbnr/pp3ppp/2n5/2pp4/3P1Bb1/2N2N2/PPP2PPP/R2QKB1R w KQkq -,d4c5 g8f6 d1e2 f8e7 e1a1 e8h8 h2h3 g4e6 f4e3 a7a6
r1bq1rk1/p1pp1ppp/1pn2n2/2b1p3/4P3/3P1NP1/PPP2PBP/RNBQ1RK1 w - -,c2c3 d7d5 e4d5 f6d5 b2b4 c5d6 f1e1 c8b7 b4b5 c6a5
8/8/4B3/8/8/1N2K3/2k5/8 w - -,b3c5 c2b2 c5d3 b2c2 d3b4 c2b2 b4d5 b2c1 e3e4 c1b2
8/8/4B3/8/3K4/1N6/1k6/8 w - -,b3c5 b2c2 e6d5 c2c1 d4d3 c1d1 d5c6 d1e1 c5e6 e1f1
rnbqk1nr/ppp2ppp/4p3/3p4/3P4/6P1/PPPbPPBP/RN1QK1NR w KQkq -,b1d2 g8f6 c2c4 e8h8 g1f3 b7b6 a1c1 b8d7 e1h1 c7c5
r1b1kbnr/ppq1pppp/2n5/1BppP3/8/6P1/PPPP1P1P/RNBQK1NR w KQkq -,f2f4 a7a6 b5c6 c7c6 d2d3 h7h5 h2h3 e7e6 g1f3 g8e7
r1b1kb1r/pp1n1ppp/2pp1n2/q3p3/3PP3/2NB1N2/PPP2PPP/R1BQ1RK1 w kq -,f1e1 g7g6 d3c4 f8g7 d4e5 d6e5 d1d6 g7f8 d6d2 h7h6
rn1qkb1r/pp3ppp/2p1pn2/3p4/6b1/3PP1P1/PPP1NPBP/RNBQK2R w KQkq -,h2h3 g4e2 d1e2 f8d6 e1h1 e8h8 c2c4 a7a5 b1c3 b8d7
rnbqk1nr/pp3ppp/4p3/3p4/3P4/P1b2N2/1PP2PPP/R1BQKB1R w KQkq -,d1d2 c3d2 c1d2 g8f6 d2g5 d8a5 f3d2 f6e4 b2b4 a5a4
rnbqkb1r/ppp1pppp/8/3p4/3Pn3/2P2N2/PP2PPPP/RNBQKB1R w KQkq -,b1d2 e4d2 c1d2 c8f5 d1b3 e7e6 f3h4 f5g4 h2h3 g4h5
r1bqk2r/ppp2ppp/2n2n2/2b1p3/2B5/2N2N2/PPPP1PPP/R1BQR1K1 w kq -,c4b5 e8h8 b5c6 b7c6 e1e5 c5d6 e5e1 f8e8 e1e8 d8e8
r2qk2r/ppp1bppp/2np1n2/4p3/2B1P1b1/P2P1N2/1PPN1PPP/R1BQK2R w KQkq -,c2c3 e8h8 e1h1 g4e6 f1e1 d8d7 h2h3 h7h6 c4e6 f7e6
rnbqkbnr/pppp1p1p/6p1/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq -,h5e5 d8e7 e5h8 d7d5 c4d5 g8f6 g1e2 f6d5 e4d5 b8a6
r1bqk2r/1p1pbppp/p1n1pn2/2p5/4PP2/2NP1N2/PPP1B1PP/R1BQK2R w KQkq -,e4e5 f6g4 c3e4 d7d5 e5d6 e7d6 e4d6 d8d6 f3g5 g4h6
rn1qk1nr/pp3ppp/2p1p3/5b2/3PN3/3B1N2/PPPb1PPP/R2QK2R w KQkq -,f3d2 d8d4 d1e2 f5e4 d3e4 g8f6 e1a1 d4b4 g2g4 b8d7
r1bqkb1r/pp2pppp/2n2n2/4p3/3P4/2N5/PP3PPP/R1BQKBNR w KQkq -,d4d5 c6d4 g1f3 d4f3 d1f3 a7a6 f1e2 g7g6 e1h1 f8g7
r1bqk2r/pppp1ppp/2n2n2/4p3/1b2P2P/2NP4/PPP2PP1/R1BQKBNR w KQkq -,g1f3 d7d5 e4d5 f6d5 c1d2 d5c3 b2c3 b4c5 f3g5 h7h6
r1b1kb1r/pp1n1ppp/1qn1p3/2ppP3/5PQ1/1P3N2/PBPP2PP/RN2KB1R w KQkq -,d2d3 d7b8 g4g3 c6e7 g3f2 b8c6 g2g3 e7f5 f1h3 c8d7
r1bqkb1r/1pp2ppp/p1p2n2/8/3pP3/5N2/PPP2PPP/RNBQK2R w KQkq -,c1f4 f6e4 e1h1 f8e7 f1e1 e4f6 f3d4 e8h8 b1c3 f8e8
rn1qkb1r/pp2nppp/4p3/3pP3/3P2b1/5N2/PP2BPPP/RNBQK2R w KQkq -,b1d2 b8d7 a2a3 a8c8 e1h1 g4f5 f3e1 e7c6 d2f3 f8e7
r1bqkb1r/pppp2pp/2n2n2/1B3p2/3pP3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,c3a4 f5e4 f3d4 c6d4 d1d4 f8e7 b5e2 d7d5 e1h1 c7c6
rn2kbnr/1p1q1ppp/p3p3/2ppP3/P2P4/8/1PP2PPP/RNBQK1NR w KQkq -,c2c3 g8e7 g1e2 b8c6 b1d2 e7f5 d2f3 f8e7 h2h4 d7d8
rnbq1rk1/p1p1bppp/4pn2/1p6/2pP4/4PNP1/PP3PBP/RNBQ1RK1 w - -,f3d2 c7c6 a2a4 f6d5 e3e4 d5c7 e4e5 d8d4 a4b5 c6b5
r1b1k1nr/pp3ppp/1qn1p3/2bpP3/5P2/2N5/PPP3PP/R1BQKBNR w KQkq -,d1d2 c5g1 c3a4 b6d4 d2d4 g1d4 c2c3 c8d7 b2b3 d4b6
r1bqkb1r/pp3ppp/2n2n2/3p4/2pP4/2P2N2/PP1NBPPP/R1BQK2R w KQkq -,h2h3 d8a5 e1h1 f8d6 f1e1 e8h8 f3h2 h7h6 h2g4 c8g4
r1bq1rk1/1pp1ppbp/p2p1np1/3P4/Pn2P3/2N2N2/1PP1BPPP/R1BQ1RK1 w - -,a4a5 e7e6 a1a4 c7c5 d5c6 b4c6 c1e3 c6a5 e4e5 f6d7
r3kbnr/pppq1ppp/2n1p3/3pPb2/3P4/5N2/PPP1BPPP/RNBQK2R w KQkq -,f3h4 g8e7 c2c3 f7f6 f2f4 f5e4 e1h1 e8a8 b1d2 g7g5
rn1qkb1r/pp2pppp/2p2n2/3p4/4PPb1/2NB4/PPPP2PP/R1BQK1NR w KQkq -,g1e2 e7e5 h2h3 g4e2 d1e2 d5d4 f4e5 f6d7 e5e6 d8h4
r1bqkbnr/pp1n1ppp/2p1p3/8/2pP4/3BPN2/PP3PPP/RNBQK2R w KQkq -,d3e4 g8f6 e4c2 b7b5 b2b3 f8b4 c1d2 c6c5 e1h1 c8b7
rnbq1rk1/ppp3bp/3p1np1/4pp2/2PP4/2NBP3/PP2NPPP/R1BQ1RK1 w - -,b2b3 e5e4 d3c2 c7c6 c1a3 d8e7 a1b1 a7a5 d4d5 c6c5
rnbqkb1r/ppp2ppp/8/4p3/4B3/8/PPPP1PPP/RNBQK2R w KQkq -,d2d3 c7c6 d1h5 b8d7 e4f5 d7f6 h5h3 f6d5 e1h1 c8f5
